Test PPN Nodes MinMBps MaxMBps AvgMBps AggGBps
memcpy 52 1 253.70 255.46 254.09 12.9030859375
memcpy 53 1 248.60 727.54 258.01 13.354111328125
memcpy 54 1 244.24 471.22 253.00 13.34197265625
memcpy 55 1 239.64 315.87 244.13 13.112333984375
memcpy 56 1 235.61 237.40 236.00 12.9060546875
memcpy 57 1 231.45 698.87 240.02 13.3605859375
memcpy 58 1 227.48 440.37 235.18 13.320625
memcpy 59 1 223.59 295.16 227.58 13.1125
memcpy 60 1 219.91 221.36 220.28 12.90732421875
memcpy 61 1 216.27 667.92 224.03 13.3453125
memcpy 62 1 212.55 412.50 219.34 13.2802734375
memcpy 63 1 209.41 277.27 212.94 13.101044921875
memcpy 64 1 206.15 207.66 206.50 12.90654296875
scrmfs 1 1 446.71 446.71 446.71 0.436240234375
scrmfs 2 1 446.62 446.71 446.66 0.872392578125
scrmfs 3 1 445.98 446.26 446.11 1.306962890625
scrmfs 4 1 446.76 446.79 446.78 1.745244140625
scrmfs 9 1 445.83 446.42 446.28 3.922353515625
scrmfs 10 1 446.07 446.40 446.28 4.358203125
scrmfs 11 1 446.16 446.42 446.34 4.79466796875
scrmfs 12 1 446.10 446.39 446.26 5.22962890625
scrmfs 13 1 446.07 446.38 446.27 5.665498046875
scrmfs 14 1 446.04 446.40 446.27 6.10130859375
scrmfs 15 1 446.09 446.37 446.25 6.536884765625
scrmfs 16 1 445.96 446.34 446.19 6.971708984375
scrmfs 17 1 400.08 445.83 403.49 6.698642578125
scrmfs 18 1 399.86 400.94 400.49 7.039921875
scrmfs 19 1 399.96 445.80 403.19 7.48103515625
scrmfs 20 1 400.22 401.38 400.71 7.8262890625
scrmfs 21 1 400.07 445.68 402.66 8.257685546875
scrmfs 22 1 400.05 401.02 400.49 8.60423828125
scrmfs 23 1 400.21 445.75 402.44 9.039248046875
scrmfs 24 1 399.89 400.78 400.35 9.38314453125
scrmfs 25 1 399.62 445.70 401.96 9.813369140625
scrmfs 26 1 399.74 400.46 400.02 10.156875
scrmfs 27 1 399.50 445.54 401.61 10.589404296875
scrmfs 28 1 399.28 400.14 399.72 10.929775390625
scrmfs 29 1 398.95 445.09 400.92 11.354228515625
scrmfs 30 1 397.99 399.08 398.55 11.676220703125
scrmfs 31 1 396.75 443.48 398.60 12.067099609375
scrmfs 32 1 393.36 394.06 393.64 12.301337890625
scrmfs 33 1 281.37 445.69 286.66 9.23802734375
scrmfs 34 1 281.37 399.97 288.65 9.58396484375
scrmfs 35 1 281.34 345.14 287.11 9.813486328125
scrmfs 36 1 281.34 281.77 281.69 9.90326171875
scrmfs 37 1 281.33 445.64 286.11 10.33787109375
scrmfs 38 1 281.33 399.81 287.88 10.68314453125
scrmfs 39 1 281.30 345.02 286.52 10.91228515625
scrmfs 41 1 281.15 445.07 285.52 11.432080078125
scrmfs 42 1 280.66 398.50 286.69 11.758583984375
scrmfs 43 1 279.93 343.62 284.85 11.96138671875
scrmfs 44 1 278.86 279.53 279.39 12.00505859375
scrmfs 45 1 276.72 442.96 281.05 12.350751953125
scrmfs 46 1 271.60 393.67 277.60 12.47009765625
scrmfs 47 1 266.15 331.98 271.01 12.439072265625
