Test PPN Nodes MinMBps MaxMBps AvgMBps AggTBps
memcpy 1 128 7378.01 7383.41 7380.85 0.900982666015625
memcpy 1 256 7378.20 7383.65 7380.97 1.80199375152588
memcpy 1 512 7377.59 7383.53 7380.94 3.60397507667542
memcpy 1 1024 7374.95 7384.55 7380.88 7.20789522171021
memcpy 1 2048 7374.38 7384.48 7380.88 14.4157862377167
memcpy 1 4096 7374.09 7449.21 7386.10 28.8519345474243
memcpy 1 8192 7373.13 7510.56 7418.60 57.9578072071075
memcpy 1 16384 7361.07 7560.28 7449.37 116.396419324875
memcpy 1 32768 7064.32 7511.41 7368.99 230.280863351822
memcpy 1 65536 7195.48 7575.49 7374.98 460.936355981827
memcpy 1 98304 7019.16 7522.17 7377.49 691.639912109375
memcpy 16 1 823.91 832.12 826.53 0.012611837387085
memcpy 16 2 823.36 832.12 826.34 0.0252179908752441
memcpy 16 4 823.43 832.93 826.57 0.0504499626159668
memcpy 16 8 823.25 832.93 826.44 0.100883769989014
memcpy 16 16 823.44 833.38 826.50 0.201783142089844
memcpy 16 32 823.07 833.32 826.54 0.403585910797119
memcpy 16 64 823.52 833.89 826.67 0.807295436859131
memcpy 16 128 823.24 834.20 826.61 1.61446702003479
memcpy 16 256 823.08 835.59 826.61 3.2289269733429
memcpy 16 512 822.79 836.05 826.43 6.45647027015686
memcpy 16 1024 822.76 838.87 826.53 12.9144670677185
memcpy 16 2048 822.66 838.22 827.11 25.847041015625
memcpy 16 4096 822.67 843.60 827.24 51.7022681045532
memcpy 16 8192 821.70 844.88 826.76 103.34466383934
memcpy 16 16384 821.04 844.44 826.36 206.59024435997
memcpy 16 32768 818.60 850.58 825.92 412.957747440338
memcpy 16 65536 813.86 852.84 824.29 824.293237094879
memcpy 16 98304 816.85 848.51 825.46 1238.1929623127
memcpy 32 1 411.86 413.49 412.48 0.0125879192352295
memcpy 32 2 411.81 413.71 412.47 0.0251752853393555
memcpy 32 4 411.85 413.96 412.57 0.0503621864318848
memcpy 32 8 411.71 413.64 412.41 0.100685243606567
memcpy 32 16 411.76 413.85 412.45 0.201392478942871
memcpy 32 32 411.70 413.88 412.46 0.402793169021606
memcpy 32 64 411.72 414.09 412.48 0.805617980957031
memcpy 32 128 411.45 413.98 412.44 1.61110891342163
memcpy 32 256 411.00 414.28 412.25 3.22070460319519
memcpy 32 512 410.66 414.09 412.03 6.43799892425537
memcpy 32 1024 410.61 415.14 412.43 12.8885417175293
memcpy 32 2048 410.46 415.57 412.60 25.7872735309601
memcpy 32 4096 410.39 415.83 412.44 51.5544658374786
memcpy 32 8192 410.09 415.83 412.32 103.080151729584
memcpy 32 16384 410.29 415.93 412.22 206.111059761047
memcpy 32 32768 402.69 417.10 411.79 411.788256845474
memcpy 32 65536 400.12 417.38 411.36 822.711343898773
memcpy 32 98304 400.16 417.43 411.64 1234.93473488808
memcpy 64 1 206.21 207.63 206.36 0.0125951385498047
memcpy 64 2 205.99 207.49 206.18 0.0251682090759277
memcpy 64 4 206.21 207.77 206.42 0.0503947162628174
memcpy 64 8 206.21 207.81 206.40 0.100779333114624
memcpy 64 16 206.17 207.77 206.40 0.201560373306274
memcpy 64 32 206.15 207.78 206.39 0.403109683990479
memcpy 64 64 206.01 207.78 206.37 0.806134243011475
memcpy 64 128 205.75 207.83 206.30 1.61170733451843
memcpy 64 256 205.79 207.82 206.26 3.22277422904968
memcpy 64 512 205.70 208.87 206.45 6.45167574882507
memcpy 64 1024 205.63 209.16 206.31 12.8941268825531
memcpy 64 2048 205.80 209.49 206.48 25.8100775337219
memcpy 64 4096 205.75 209.50 206.47 51.6172492790222
memcpy 64 8192 205.78 209.46 206.49 103.244435815811
memcpy 64 16384 205.71 209.36 206.50 206.497968034744
memcpy 64 32768 205.56 209.08 206.48 412.963900279999
memcpy 64 65536 205.70 209.24 206.49 825.94613694191
memcpy 64 98304 205.74 209.38 206.49 1238.9478867054
memcpy_check 1 16384 7362.96 7561.19 7449.55 116.399179077148
memcpy_check 1 32768 7060.59 7511.45 7369.13 230.285318574905
memcpy_check 1 65536 7196.67 7575.94 7375.11 460.944112110138
memcpy_check 1 98304 7013.89 7522.79 7377.64 691.653375406265
memcpy_check 16 16384 821.28 844.30 826.36 206.589612903595
memcpy_check 16 32768 818.62 850.99 825.92 412.957821359634
memcpy_check 16 65536 816.76 853.02 825.33 825.327602958679
memcpy_check 16 98304 817.03 848.41 825.46 1238.19396761894
memcpy_check 32 16384 410.09 416.36 412.22 206.111614618301
memcpy_check 32 32768 403.41 417.23 411.79 411.789070587158
memcpy_check 32 65536 400.38 417.17 411.35 822.70350197792
memcpy_check 32 98304 399.94 417.48 411.64 1234.92141200066
memcpy_check 64 16384 205.27 209.17 206.28 206.284507198334
memcpy_check 64 32768 205.52 209.11 206.48 412.963991661072
memcpy_check 64 65536 205.40 209.25 206.43 825.702737007141
memcpy_check 64 98304 205.53 209.33 206.49 1238.94787045479
scrmfs 1 1 447.31 447.31 447.31 0.00042658805847168
scrmfs 1 2 447.31 447.31 447.31 0.000853185653686523
scrmfs 1 4 447.31 447.31 447.31 0.00170636177062988
scrmfs 1 8 447.31 447.31 447.31 0.00341273307800293
scrmfs 1 16 447.31 447.31 447.31 0.0068254566192627
scrmfs 1 32 447.31 447.31 447.31 0.0136509132385254
scrmfs 1 64 447.31 447.31 447.31 0.0273018455505371
scrmfs 1 128 447.31 447.31 447.31 0.0546036052703857
scrmfs 1 256 447.31 447.31 447.31 0.109207181930542
scrmfs 1 512 447.31 447.31 447.31 0.218414134979248
scrmfs 1 1024 447.31 447.31 447.31 0.436826982498169
scrmfs 1 2048 447.30 447.31 447.31 0.873649578094482
scrmfs 1 4096 447.30 447.31 447.30 1.74728229522705
scrmfs 1 8192 447.28 447.31 447.30 3.4944979763031
scrmfs 1 16384 447.24 447.31 447.28 6.98873149871826
scrmfs 1 32768 447.18 447.31 447.24 13.9763950538635
scrmfs 1 65536 446.94 447.41 447.17 27.948120059967
scrmfs 1 98304 446.76 447.42 447.17 41.9225177001953
scrmfs 16 1 446.22 446.37 446.34 0.0068105411529541
scrmfs 16 2 446.15 446.36 446.34 0.0136213397979736
scrmfs 16 4 446.14 446.38 446.35 0.0272429656982422
scrmfs 16 8 446.16 446.40 446.35 0.0544858264923096
scrmfs 16 16 446.14 446.40 446.34 0.108969039916992
scrmfs 16 32 446.15 446.39 446.34 0.217939071655273
scrmfs 16 64 446.14 446.39 446.34 0.435881958007812
scrmfs 16 128 446.14 446.40 446.34 0.871748857498169
scrmfs 16 256 446.09 446.41 446.33 1.74347356796265
scrmfs 16 512 446.07 446.40 446.31 3.48680053710937
scrmfs 16 1024 445.98 446.40 446.27 6.97299747467041
scrmfs 16 2048 445.98 447.19 446.65 13.9577502250671
scrmfs 16 4096 445.98 447.18 446.75 27.9215829277039
scrmfs 16 8192 445.72 447.04 446.42 55.8025654125214
scrmfs 16 16384 445.98 447.18 446.68 111.669448566437
scrmfs 16 32768 445.96 447.19 446.66 223.331416101456
scrmfs 16 65536 445.72 447.21 446.53 446.52721786499
scrmfs 16 98304 445.95 447.21 446.67 670.010412683487
scrmfs 32 1 392.71 393.54 393.26 0.0120014381408691
scrmfs 32 2 393.46 394.18 393.84 0.0240378761291504
scrmfs 32 4 393.08 394.93 394.31 0.0481330966949463
scrmfs 32 8 393.38 395.00 394.12 0.0962211799621582
scrmfs 32 16 392.23 394.46 393.60 0.192186784744263
scrmfs 32 32 391.35 394.20 393.45 0.384223928451538
scrmfs 32 64 392.43 395.05 394.26 0.770034284591675
scrmfs 32 128 391.36 395.23 394.26 1.54008262634277
scrmfs 32 256 391.78 395.30 394.29 3.0804029750824
scrmfs 32 512 392.03 395.25 394.22 6.15968420028686
scrmfs 32 1024 391.48 396.05 394.55 12.3298108386993
scrmfs 32 2048 391.92 395.87 394.63 24.6643200206757
scrmfs 32 4096 391.67 395.91 394.55 49.318831911087
scrmfs 32 8192 388.89 395.91 394.58 98.6451976776123
scrmfs 32 16384 390.73 396.01 394.57 197.283007202148
scrmfs 32 32768 383.37 396.01 394.59 394.594670934677
scrmfs 32 65536 390.08 396.09 394.65 789.293264627457
scrmfs 32 98304 385.12 395.96 394.45 1183.34282607079
scrmfs 64 1 156.46 157.07 156.64 0.00956060409545898
scrmfs 64 2 156.40 156.83 156.59 0.0191151237487793
scrmfs 64 4 156.33 157.04 156.57 0.0382260131835937
scrmfs 64 8 156.16 157.06 156.58 0.0764573097229004
scrmfs 64 16 156.13 157.11 156.60 0.152926740646362
scrmfs 64 32 156.21 157.05 156.59 0.305844554901123
